File;F.O. SSCFLP;Tempo SSCFLP;F.O. Euristica 1;Tempo Euristica 1;F.O. Euristica 2;Tempo Euristica 2;F.O. Euristica 3;Tempo Euristica 3
30-200-1.dat;23569.0;8.61;52707.0;0.0;41283.0;0.0;47258.0;0.0
30-200-2.dat;22138.0;5.8;49368.0;0.01;36544.0;0.0;43410.0;0.01
30-200-3.dat;22153.0;1.13;51074.0;0.0;33544.0;0.0;42298.0;0.0
30-200-4.dat;22190.0;5.65;55428.0;0.0;34111.0;0.0;43319.0;0.0
30-200-5.dat;20816.0;2.06;54064.0;0.0;35364.0;0.0;40114.0;0.0
60-200-1.dat;21797.0;15.48;88589.0;0.0;50984.0;0.0;43720.0;0.0
60-200-2.dat;23923.0;12.37;88622.0;0.0;52413.0;0.0;47916.0;0.01
60-200-3.dat;22647.0;8.29;84094.0;0.0;48014.0;0.0;46479.0;0.0
60-200-4.dat;22099.0;32.03;88185.0;0.0;52074.0;0.0;45709.0;0.0
60-200-5.dat;23675.0;2.58;78569.0;0.01;46335.0;0.01;43104.0;0.01
60-300-1.dat;25874.0;5.23;111433.0;0.01;59035.0;0.01;58745.0;0.01
60-300-2.dat;27094.0;185.75;113968.0;0.01;62087.0;0.01;60504.0;0.0
60-300-3.dat;23315.0;7.5;145126.0;0.02;74887.0;0.02;57103.0;0.01
60-300-4.dat;23036.0;2.53;121156.0;0.0;69381.0;0.0;54294.0;0.0
60-300-5.dat;19607.0;8.73;142619.0;0.01;82385.0;0.01;54976.0;0.0
80-400-1.dat;25978.0;13.69;171830.0;0.02;98560.0;0.01;74218.0;0.01
80-400-2.dat;22739.0;2.18;216009.0;0.01;115280.0;0.0;61963.0;0.0
80-400-3.dat;33884.0;31.08;159618.0;0.01;88219.0;0.01;75904.0;0.01
80-400-4.dat;24289.0;73.73;213659.0;0.0;112615.0;0.01;68432.0;0.0
80-400-5.dat;33634.0;8.52;152012.0;0.01;78976.0;0.02;70871.0;0.01
